name,category,year,address,lon,lat
Vickie's,Restaurant,2016,"112 W Monroe St, South Bend, In 46601",-86.25097799999999,41.6707903
Saint Joseph County Jail,Restaurant,2017,"401 W Sample St, South Bend, In 46601",-86.25442799999999,41.6663529
"Mc Investments, Llc",Public Parking Facility,2017,"117 S William St, South Bend, In 46601",-86.2564009,41.6755304
"Mason's Htg, A/C & Appliance",Second Hand Dealers,2017,"118 E Sample St, South Bend, In 46601",-86.2490716,41.664973
"Mc Investments, Llc",Public Parking Facility,2017,"123 N Main St, South Bend, In 46601",-86.25235479999999,41.6771629
"Subway Of South Bend V, Inc",Restaurant,2016,"113 W Washington St, South Bend, In 46601",-86.2510716,41.6764964
Lasalle Grill,Restaurant,2016,"115 W Colfax Ave, South Bend, In 46601",-86.2513338,41.6778473
Bendix Family Restaurant,Restaurant,2016,"4920 W Western Ave, South Bend, In 46601",-86.3174317,41.6714562
Oliver Inn,Hotel/Motel,2017,"630 W Washington St, South Bend, In 46601",-86.2585936,41.6759376
"Zolman Tire, Inc",Automotive Repair & Svc,2017,"406 E Monroe St, South Bend, In 46601",-86.2453695,41.6706116
"Red's Worldwide, Llc",Precious Metal Dealers,2017,"1072 Lincoln Way E, South Bend, In 46601",-86.2362538,41.66319379999999
Episcopal Cathedral Of St Jame,Restaurant,2017,"117 N Lafayette Blvd, South Bend, In 46601",-86.2538527,41.676775
"Red's Worldwide, Llc",Second Hand Dealers,2017,"1072 Lincoln Way E, South Bend, In 46601",-86.2362538,41.66319379999999
Volcano Restaurant,Restaurant,2016,"3700 Lincoln Way W, South Bend, In 46601",-86.30094489999999,41.6928562
"Fiddler's Hearth, Inc",Restaurant,2017,"127 N Main St, South Bend, In 46601",-86.2523252,41.6772891
Jimmy John's,Restaurant,2017,"138 S Michigan St, South Bend, In 46601",-86.2499716,41.6752818
South Bend Chocolate Co,Restaurant,2017,"615 N Michigan St, South Bend, In 46601",-86.2519755,41.68369089999999
Precision Transmission,Automotive Repair & Svc,2017,"902 S Michigan St, South Bend, In 46601",-86.2495478,41.6649108
Mc Cormick's,Restaurant,2017,"125 N Michigan St, South Bend, In 46601",-86.2507921,41.6772426
Dismas House Of South Bend,Restaurant,2017,"521 S Saint Joseph St, South Bend, In 46601",-86.2489923,41.6701037
Navarre At The Woodward,Restaurant,2017,"111 Woodward Ct, South Bend, In 46601",-86.2513738,41.6766703
Temple Beth-El,Restaurant,2017,"305 W Madison St, South Bend, In 46601",-86.2541899,41.6810434
The View Tavern,Restaurant,2017,"515 E Jefferson Blvd, South Bend, In 46601",-86.24349649999999,41.6752713
Taco Bell / Pizza Hut ,Restaurant,2017,"221 W Lasalle Ave, South Bend, In 46601",-86.2532179,41.6792817
Oliver Inn,Restaurant,2017,"630 W Washington St, South Bend, In 46601",-86.2585936,41.6759376
Hedman Ptl Tire,Automotive Repair & Svc,2017,"135 N Lafayette Blvd, South Bend, In 46601",-86.2540203,41.6774212
Firestone Complete Auto Care,Automotive Repair & Svc,2017,"4921 W Western Ave, South Bend, In 46601",-86.31719389999999,41.6723819
Peggs,Restaurant,2016,"127 S Michigan St, South Bend, In 46601",-86.2506844,41.6754615
Professional Sports Catering,Restaurant,2017,"501 W South St, South Bend, In 46601",-86.2558959,41.6698617
Madison Primary School,Restaurant,2016,"832 N Lafayette Blvd, South Bend, In 46601",-86.2528036,41.6858942
Lasalle Intermediate Academy,Restaurant,2016,"2701 Elwood Ave, South Bend, In 46601",-86.2874265,41.69479250000001
Arby's Roast Beef ,Restaurant,2016,"209 W Sample St, South Bend, In 46601",-86.25235099999999,41.665737
Saint Joseph County Juvenile J,Restaurant,2016,"1000 S Michigan St, South Bend, In 46601",-86.2478416,41.6638829
"Tugara, Paul M",Taxi Services,2016,"502 Wenger St, South Bend, In 46601",-86.2444088,41.6625307
Innisfree Bed & Breakfast,Hotel/Motel,2016,"702 W Colfax Ave, South Bend, In 46601",-86.2596052,41.6774285
Innisfree Bed & Breakfast,Restaurant,2016,"702 W Colfax Ave, South Bend, In 46601",-86.2596052,41.6774285
Kentucky Fried Chicken,Restaurant,2016,"5011 W Western Ave, South Bend, In 46601",-86.31806569999999,41.6725653
Kim's Cafe,Restaurant,2016,"121 S Niles Ave, South Bend, In 46601",-86.2445084,41.6754404
Dew Drop Inn,Restaurant,2017,"822 S Lafayette Blvd, South Bend, In 46601",-86.2530393,41.6652577
"Corby's Lounge, Inc",Restaurant,2016,"441 E Lasalle Ave, South Bend, In 46601",-86.244548,41.679311
The Ragamuffin,Restaurant,2016,"900 W Western Ave, South Bend, In 46601",-86.2622829,41.6716634
Madis Market,Restaurant,2016,"209 S Michigan St, South Bend, In 46601",-86.25069839999999,41.6745533
Hot Diggity Dogs,Restaurant,2016,"112 W Jefferson Blvd, South Bend, In 46601",-86.25105549999999,41.6746816
Hot Diggity Dogs,Open Air Vendors (Public/Private),2016,"112 W Jefferson Blvd, South Bend, In 46601",-86.25105549999999,41.6746816
Cops & Doughnuts Dainty Maid P,Restaurant,2016,"231 S Michigan St, South Bend, In 46601",-86.2506786,41.6739111
Long John Silver's ,Restaurant,2016,"4949 W Western Ave, South Bend, In 46601",-86.3175902,41.6724723
Nom Nom Pho Noodles & Rice,Restaurant,2016,"211 N Main St, South Bend, In 46601",-86.2522657,41.6782009
Render Kitchen & Bar,Restaurant,2016,"521 E Jefferson Blvd, South Bend, In 46601",-86.2433576,41.6752862
Navarre Catering Llc - Dba Bis,Restaurant,2016,"211 N Michigan St, South Bend, In 46601",-86.250574,41.678226
"Dainty Maid Bake Shop, Inc",Restaurant,2016,"231 S Michigan St, South Bend, In 46601",-86.2506786,41.6739111
Club Fever,Restaurant,2016,"222 S Michigan St, South Bend, In 46601",-86.24990489999999,41.6742164
Navarre Catering - Dba Palais,Restaurant,2016,"105 W Colfax Ave, South Bend, In 46601",-86.2509051,41.6781414
The India Garden,Restaurant,2016,"123 N Michigan St, South Bend, In 46601",-86.250658,41.6771982
Vegetable Buddies Inc.,Restaurant,2016,"129 N Michigan St, South Bend, In 46601",-86.2508175,41.6773956
Army & Navy Union ,Restaurant,2016,"1121 W Western Ave, South Bend, In 46601",-86.2671024,41.67242239999999
Julio's Pizza,Restaurant,2016,"2509 S Michigan St, South Bend, In 46601",-86.2499644,41.6484517
"Linton, Calvin",Taxi Services,2016,"205 Sadie St, South Bend, In 46601",-86.2820141,41.6783095
"Rousculp, David W",Taxi Services,2016,"116 S Taylor St, South Bend, In 46601",-86.25690759999999,41.6757079
Tapastrie Llc,Restaurant,2016,"103 W Colfax Ave, South Bend, In 46601",-86.25070149999999,41.6778415
Boys & Girls Club Of St Joseph,Restaurant,2016,"502 E Sample St, South Bend, In 46601",-86.2433973,41.6645159
Smg F&B Llc (Savor) Center Caf,Restaurant,2016,"120 S Saint Joseph St, South Bend, In 46601",-86.24801409999999,41.675853
Hamilton's Towing,Vehicle Removal,2016,"4707 W Western Ave, South Bend, In 46601",-86.3136676,41.6726976
Mc Donald's,Restaurant,2016,"5021 W Western Ave, South Bend, In 46601",-86.3185412,41.6725805
Mc Donald's,Restaurant,2016,"416 N Michigan St, South Bend, In 46601",-86.2500239,41.68094680000001
Studebaker National Museum Inc,Restaurant,2016,"201 Chapin St, South Bend, In 46601",-86.2619656,41.67476389999999
Volcano Restaurant,Restaurant,2018,"3700 Lincoln Way W, South Bend, In 46601",-86.30094489999999,41.6928562
Madison Primary School,Restaurant,2018,"832 N Lafayette Blvd, South Bend, In 46601",-86.2528036,41.6858942
Lasalle Intermediate Academy,Restaurant,2018,"2701 Elwood Ave, South Bend, In 46601",-86.2874265,41.69479250000001
Arby's Roast Beef ,Restaurant,2018,"209 W Sample St, South Bend, In 46601",-86.25235099999999,41.665737
Saint Joseph County Juvenile J,Restaurant,2018,"1000 S Michigan St, South Bend, In 46601",-86.2478416,41.6638829
Vickie's,Restaurant,2018,"112 W Monroe St, South Bend, In 46601",-86.25097799999999,41.6707903
"Subway Of South Bend V, Inc",Restaurant,2018,"113 W Washington St, South Bend, In 46601",-86.2510716,41.6764964
Lasalle Grill,Restaurant,2018,"115 W Colfax Ave, South Bend, In 46601",-86.2513338,41.6778473
Nom Nom Pho Asian Kitchen,Restaurant,2018,"211 N Main St, South Bend, In 46601",-86.2522657,41.6782009
Sai Shakti Massage And Healing,Massage,2018,"115 N William St, South Bend, In 46601",-86.2563522,41.6769341
Lights Of India,Restaurant,2018,"123 N Michigan St, South Bend, In 46601",-86.250658,41.6771982
Logan Quick Mart,Restaurant,2018,"333 S Logan St, South Bend, In 46601",-86.1968688,41.6732211
Bendix Family Restaurant,Restaurant,2018,"4920 W Western Ave, South Bend, In 46601",-86.3174317,41.6714562
South Bend Brew Werks,Restaurant,2018,"216 S Michigan St, South Bend, In 46601",-86.2500659,41.6744361
Aloft - Refuel And Wxyz Bar,Restaurant,2018,"111 N Main St, South Bend, In 46601",-86.2521708,41.6767644
Aloft Banquets And Catering,Restaurant,2018,"111 N Main St, South Bend, In 46601",-86.2521708,41.6767644
Aloft South Bend,Hotel/Motel,2018,"111 N Main St, South Bend, In 46601",-86.2521708,41.6767644
Double Tree South Bend,Hotel/Motel,2018,"123 N Dr Martin Luther King Jr, South Bend, In 46601",-86.2495117,41.6768936
Kentucky Fried Chicken,Restaurant,2018,"5011 W Western Ave, South Bend, In 46601",-86.31806569999999,41.6725653
"Corby's Lounge, Inc",Restaurant,2018,"441 E Lasalle Ave, South Bend, In 46601",-86.244548,41.679311
Innisfree Bed & Breakfast,Hotel/Motel,2018,"702 W Colfax Ave, South Bend, In 46601",-86.2596052,41.6774285
Innisfree Bed & Breakfast,Restaurant,2018,"702 W Colfax Ave, South Bend, In 46601",-86.2596052,41.6774285
Valet Laundry Llc,Self Service Laundry,2018,"234 Chapin St, South Bend, In 46601",-86.26121189999999,41.6736118
Bakers Bar & Grill,Restaurant,2018,"123 N Dr Martin Luther King Jr, South Bend, In 46601",-86.2495117,41.6768936
Starbucks,Restaurant,2018,"123 N Dr Martin Luther King Jr, South Bend, In 46601",-86.2495117,41.6768936
Linden Grill,Restaurant,2018,"119 S Michigan St, South Bend, In 46601",-86.2505668,41.6756365
Lasalle Kitchen And Tavern,Restaurant,2018,"115 W Colfax Ave, South Bend, In 46601",-86.2513338,41.6778473
Hot Pho Inc. Dba Nom Nom Pho,Restaurant,2018,"211 N Main St, South Bend, In 46601",-86.2522657,41.6782009
Peggs,Restaurant,2018,"127 S Michigan St, South Bend, In 46601",-86.2506844,41.6754615
Ben's Soft Pretzel @  The S.b.,Restaurant,2018,"122 S Michigan St, South Bend, In 46601",-86.2498652,41.67557600000001
